,Topic,Feedback Comment,Contextual_Subtopic,Granular_Subtopic,Severity,Sentiment
0,Other,.I find it a better experience,General Other,General Other - Positive Experience Feedback,Low,Positive
1,Feature,.More translation added,Translations & Tafseer,Translations & Tafseer - Additional Translation Request,Low,Positive
2,Other,".ماشاء اللہ بہت خوب کام کیا ہے 
اللہ پاک جزاۓ خیر عطا کرے",General Other,General Other - Positive Feedback,Low,Positive
3,Feature,". Please add references of Albani, shoaib Arnaud and others,
. Please add ""debacha"" and introduction of all the books and their translation
. Remove Mustadrak because it is only partially vetted by imam Zahbi. It creates confusion for some percentage o",Translations & Tafseer,Translations & Tafseer - Reference and Content Addition,Medium,Neutral
4,Feature,". Please update of Arabic Hadiths audio like Urdu
. The PDF of both  line and  line Quran both extremely poor quality. Please directly these  from Taj Company etc. Which is being used in their printing. Please remove these both dear Zahid, this not",General Feature,General Feature - Arabic Hadith Audio Quality,Medium,Negative
5,Feature,"A fine experience , but i think that it should tell us of a zaeef hadees has been marked as sahih by a muhaddis or if a sahih hadees has been marked as zaeef by some muhaddis , because i listened a lecture of a scholar stating that a hadees marked as sah",General Feature,General Feature - Hadees Authenticity Marking,Medium,Neutral
6,Slow,A lil bit slow,General Slow,General Slow - App Performance Issues,Medium,Negative
7,Feature,"A tool to keep track the last read hadith would be helpful 
We can watermark it or stamp it and then later start reading from there",Quran Reading Features,Quran Reading Features - Hadees Last Read Tracking,Low,Neutral
8,Feature,ALL OVER BEST BOOKS OF Hadith sharif.I think You Should add More books and topics. And It is need to add explaination Of every Hadith.,General Feature,General Feature - Hadees Book and Explanation Request,Low,Neutral
9,Other,"ALLAH Pak apko ajjr dy 
Apki or apky waldeen ki magfirat frmay or ( Her trha k ghroor tkabur )sy mehfooz rkhy",General Other,General Other - Prayer and Blessings Request,Low,Positive
10,Other,ALLAH bless all of Ur team,General Other,General Other - Positive Feedback,Low,Positive
11,Other,ALLAH jazae kher dy ameen,General Other,General Other - General Appreciation,Low,Positive
12,Other,ALi,General Other,General Other - General Issues,Low,Neutral
13,Other,"AOA sir , good effort",General Other,General Other - Positive Feedback,Low,Positive
14,Feature,"ASSALAM O ALIKUM ,,U SHOULD HAVE TO MAKE THIS MORE EASIER ,,ACCORDING TO RELEVENT FIRQA,S,,I MEAN WHICH FIRWA DOESN,T ACCEPT THIS",General Feature,General Feature - Firqa-Specific Content Accessibility,Medium,Neutral
15,Feature,Aayat k sath connect ho paye to axa means is majmuye k baremain quran kya kehra hain jo available ho love from Nepal,General Feature,General Feature - Quranic Content Connection Request,Low,Neutral
16,Other,Abdullah,General Other,General Other - General Issues,Low,Neutral
17,Feature,Able to zoom in out w rwo fingers,General Feature,General Feature - Zoom Functionality Request,Low,Neutral
18,Other,Abu Dawood best hai,General Other,General Other - Positive Feedback on Abu Dawood,Low,Positive
19,Ads,Ad irritate karte hai,Excessive Ads Frequency,Excessive Ads Frequency - Ads Irritation Issues,Medium,Negative
20,Feature,Add Arabic and English translation,Translations & Tafseer,Translations & Tafseer - English Translation Request,Low,Neutral
21,Feature,Add Explanation of hadees,General Feature,General Feature - Hadees Explanation Request,Low,Neutral
22,Feature,Add Urdu keywords for search,General Feature,General Feature - Urdu Search Keywords Request,Low,Neutral
23,Feature,"Add a bookmark option in hadith page 
so we can save hadith in one click and Keep improving hadith features and add option of definition of all Allah's names.",Quran Reading Features,Quran Reading Features - Hadees Bookmark and Definition Request,Low,Neutral
24,Feature,Add ability to change language in hadith book. Add ability to see multiple languages in hadith translation.,Translations & Tafseer,Translations & Tafseer - Multi-language Hadees Translation Feature,Low,Neutral
25,Feature,"Add all major hadees Book with translation.
Add all Ahadees of already available hadees Book. ex musnade Ahmad, Mauta Malik etc.",Translations & Tafseer,Translations & Tafseer - Hadees Translation Request,Low,Neutral
26,Feature,Add also with chapter wise,General Feature,General Feature - Chapter-wise Content Request,Low,Neutral
27,Feature,Add audio over the text.,General Feature,General Feature - Audio Integration Request,Low,Neutral
28,Feature,Add catalogue,General Feature,General Feature - Catalogue Addition Request,Low,Neutral
29,Feature,"Add continous playing option... 
If we enter one baab and start at number one then automatically next hadith should start",General Feature,General Feature - Hadees Continuous Play Option,Low,Neutral
30,Feature,Add english audio my son has bad urdu,Translations & Tafseer,Translations & Tafseer - English Audio Feature Request,Low,Neutral
31,Feature,Add explaination with hadeeth,Translations & Tafseer,Translations & Tafseer - Hadeeth Explanation Request,Low,Neutral
32,Feature,Add explanation,General Feature,General Feature - Explanation Request,Low,Neutral
33,Feature,Add hindi and Roman language,Translations & Tafseer,Translations & Tafseer - Hindi and Roman Language Request,Low,Neutral
34,Feature,Add in hadis different languages translation 😐✅,Translations & Tafseer,Translations & Tafseer - Hadees Translation Request,Low,Neutral
35,Feature,"Add more books please. Sahih Ibn e Khuzaiyma, Musannad Ibn e Abi Shaiba, Adab ul Mufarrad and others.

Also, please embed the Mustadrak with the app. It does show the Sahih or Zaeef statuses.",General Feature,General Feature - Additional Hadees Request,Low,Neutral
36,Feature,Add more books,General Feature,General Feature - Additional Books Request,Low,Neutral
37,Feature,"Add more details in explanation of authenticity of hadith with book references & also kindly add sahih hadith books of shia sect & musnaf ibn abi shabah hadith book.
overall Islam  app is the best and Alhamdulillah easy to study & understand Islam,than",Translations & Tafseer,Translations & Tafseer - Hadith Authenticity and References,Medium,Positive
38,Feature,Add more hadith books,General Feature,General Feature - Hadees Book Addition Request,Low,Neutral
39,Feature,Add more supplications,General Feature,General Feature - Supplication Addition Request,Low,Neutral
40,Feature,Add more use full things may Allah SWT give you more strength love you all<,General Feature,General Feature - Suggestions for Improvement,Low,Positive
41,Feature,Add more,General Feature,General Feature - General Issues,Low,Neutral
42,Feature,"Add must not show up in paid apps.
It should allow to continue reading forward or backwards from the book hasith",General Feature,General Feature - Hadees Navigation Improvement,Low,Neutral
43,Feature,Add narrator,General Feature,General Feature - Hadees Narrator Addition Request,Low,Neutral
44,Feature,Add shia books,General Feature,General Feature - Shia Books Addition Request,Low,Neutral
45,Feature,Add simple words also,General Feature,General Feature - Simple Words Addition Request,Low,Neutral
46,Feature,Add some References for Hadis Tehqiq,General Feature,General Feature - Hadees Reference Addition Request,Low,Neutral
47,Feature,Add the feature that we can open next time where we leave last time,General Feature,General Feature - Resume Last Session,Low,Neutral
48,Feature,Add the missing sahih Ahadith. Thank you.,General Feature,General Feature - Missing Sahih Ahadith Request,Low,Neutral
49,Feature,Add the muqadma portion of the hadith books,General Feature,General Feature - Hadees Muqadma Addition Request,Low,Neutral
50,Feature,Add the tasfseer and add more prove in hadees feature,Translations & Tafseer,Translations & Tafseer - Tafseer and Hadees Evidence Request,Low,Neutral
51,Feature,Add,General Feature,General Feature - General Issues,Low,Neutral
52,Feature,Adding more translator options,Translations & Tafseer,Translations & Tafseer - Additional Translator Options,Low,Neutral
53,Ads,Adds are oftenly disturbing,Excessive Ads Frequency,Excessive Ads Frequency - Disturbing Ads Experience,Medium,Negative
54,Ads,Adds irritate,General Ads,General Ads - Ads Irritation Issues,Medium,Negative
55,Feature,Adds,General Feature,General Feature - General Issues,Low,Neutral
56,Other,Adiou nai hea,General Other,General Other - General Issues,Low,Neutral
57,Ads,Ads are annoying,General Ads,General Ads - Annoyance with Ads,Medium,Negative
58,Ads,Ads bohat at hay,Excessive Ads Frequency,Excessive Ads Frequency - High Ad Frequency Issue,Medium,Negative
59,Ads,Ads website like not deposited,General Ads,General Ads - Ads Website Issues,Medium,Negative
60,Ads,Advertisement are disturbing,General Ads,General Ads - Disturbing Advertisement Issues,Medium,Negative
61,UI,After we see the bookmark and go back the user interface should show the list of the book,Navigation Difficulty,Navigation Difficulty - UI Bookmark Return Issue,Low,Neutral
62,Feature,Ager koi hadees mojood na ho us kitab ma to jis kitaab ma mil sakti hai uska reference da dayn,General Feature,General Feature - Hadees Reference Request,Low,Neutral
63,Other,Agga jodi amar dike,General Other,General Other - General Issues,Low,Neutral
64,Feature,Agr chapter k baab hadess k upar show hon to zyada asani hogi,Quran Reading Features,Quran Reading Features - Hadees Display Improvement,Low,Neutral
65,Other,Agree 👍,General Other,General Other - General Issues,Low,Positive
66,Feature,Ahadees ki Sharr'ah Bhi add ki Jani chahiye Allah taala aap k is naik kaam ka ajjar Duniya o Aakhrat main de aameen,General Feature,General Feature - Hadees Sharr'ah Addition Request,Low,Positive
67,Feature,Ahadees ko sajhanay pr km ho to maza aajay ga.,General Feature,General Feature - Hadees Presentation Improvement,Low,Neutral
68,Accuracy,Ahadees no  me namaz e janaza ka ap ki application me reference a raha hey aur ahadees no sahi muslim ka  dal raha hun us me kuch aur a raha hey,General Accuracy,General Accuracy - Hadees Reference Mismatch,High,Negative
69,Feature,Ahadis of Hazrat ayesha,General Feature,General Feature - Hadees of Hazrat Ayesha,Low,Neutral
70,Feature,"Ahadith should be translated in English especially Al Muwatta Imam malik , al mstadrak lil hakim and sunan darmi",Translations & Tafseer,Translations & Tafseer - English Translation Request for Ahadith,Medium,Neutral
71,Other,Ahsan,General Other,General Other - General Issues,Low,Positive
72,Other,Ahshan Shaikh,General Other,General Other - General Issues,Low,Neutral
73,Feature,Akhri khutba,General Feature,General Feature - Khutba Access Request,Low,Neutral
74,Other,Al Hamdulillah,General Other,General Other - General Praise,Low,Positive
75,Other,"Alhmdullilah 
It's a great effort.
Jazakallah 

Always improve the IT Security techniques to protect the whole document and contents of the Holy Quran and Ahadith.",General Other,General Other - IT Security Improvement Request,Low,Positive
76,Feature,All  books translated by Hindi language,Translations & Tafseer,Translations & Tafseer - Hindi Translation Request,Low,Neutral
77,Other,All Good,General Other,General Other - General Issues,Low,Positive
78,Other,All book good,General Other,General Other - General Feedback on Books,Low,Positive
79,Bug,All good Alhumdullilah but whenever I want to search the exact no of hadis or any other key word it doesn't work,Search Functionality,Search Functionality - Hadees Search Not Working,Medium,Negative
80,Other,All good,General Other,General Other - General Issues,Low,Positive
81,Bug,All hades all audio on,Audio Playback Issues,Audio Playback Issues - Hadees Audio Not Working,Medium,Negative
82,Feature,All hadith not audio,General Feature,General Feature - Hadees Audio Availability,Low,Neutral
83,Feature,All improve,General Feature,General Feature - General Issues,Low,Neutral
84,Feature,All should be in hindi language also for Indian. Majority of Muslims don't have knowledge due to of Hindi tarjuma,Translations & Tafseer,Translations & Tafseer - Hindi Translation Request,Medium,Neutral
85,Other,All suggestions already sent you via WhatsApp,General Other,General Other - General Suggestions Submitted,Low,Neutral
86,Other,All,General Other,General Other - General Issues,Low,Neutral
87,Other,Allah bless you 💕,General Other,General Other - General Appreciation,Low,Positive
88,Other,Allah pak ajar atta farmay Ameen.,General Other,General Other - Prayer Request,Low,Positive
89,Other,Allah razo hoo,General Other,General Other - General Praise,Low,Positive
90,Other,Allah,General Other,General Other - General Issues,Low,Neutral
91,Other,Allha always bless you,General Other,General Other - General Well Wishes,Low,Positive
92,Other,Allhumdullilah it is good,General Other,General Other - Positive Feedback,Low,Positive
93,Feature,Allow searching by Roman Urdu in searching topics in hadeeth,General Feature,Search Functionality - Hadees Roman Urdu Search Request,Low,Neutral
94,Feature,Allows to search in roman urdu,General Feature,General Feature - Roman Urdu Search Functionality,Low,Neutral
95,Bug,Almost every time problem with finding hadees,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
96,Other,Almost good,General Other,General Other - General Issues,Low,Neutral
97,Feature,"Already of IMMENSE benefit.

But could be better if the narrative/tashreeh of ahadees by diff. Schloars is also given",Translations & Tafseer,Translations & Tafseer - Hadees Commentary Request,Low,Positive
98,Feature,"Already submitted my reviews from  to islam  WhatsApp.
Required to add features in upcoming versions.allah give you jazai khair",General Feature,General Feature - Feature Enhancement Request,Low,Positive
99,Feature,Also add option to change language once any hadit is bookmark. Currently only Urdu bookmark is showing in bookmark section. Also if possible add Arabic text audio because sometime difficult to read text but if audio of hadith is available then easy to lis,Translations & Tafseer,Translations & Tafseer - Language Change and Audio Feature Request,Low,Neutral
100,Other,Very.good,General Other,General Other - General Issues,Low,Positive
101,Other,Very,General Other,General Other - General Issues,Low,Neutral
102,Other,Verygood,General Other,General Other - General Feedback,Low,Positive
103,Other,Vip,General Other,General Other - General Issues,Low,Neutral
104,Bug,Voice and audio not working,Audio Playback Issues,Audio Playback Issues - Audio Not Functioning,Medium,Negative
105,Feature,Voice bhioffline reh na chahiye,General Feature,General Feature - Offline Voice Availability,Low,Neutral
106,Other,Vry smpl nd best app for evry prson.. Atleast Try  tim...,General Other,General Other - Positive Feedback,Low,Positive
107,Other,W,General Other,General Other - General Issues,Low,Neutral
108,Other,Waao amazing progress in my knowledge,General Other,General Other - Positive Feedback on Knowledge Progress,Low,Positive
109,Other,Wahabi haii,General Other,General Other - General Issues,Low,Neutral
110,Feature,Want tashreeh of hadees....,Translations & Tafseer,Translations & Tafseer - Hadees Tashreeh Request,Low,Neutral
111,Other,Waqasmalik,General Other,General Other - General Issues,Low,Neutral
112,Other,Waseem,General Other,General Other - General Issues,Low,Neutral
113,Other,We are proud to Islam,General Other,General Other - Positive Feedback on Islam,Low,Positive
114,Feature,We can improve Search feature and navigation,General Feature,General Feature - Search Improvement Request,Low,Neutral
115,Feature,"We can listen to it but the one who is unaware of these languages cannot so if it was avaliable in roman urdu , hindi and English it would be more helpful.",Translations & Tafseer,Translations & Tafseer - Roman Urdu and Hindi Translation Request,Low,Neutral
116,Feature,We can't change the language in searched hadith. We have to back on main book as Bukhari  or Muslim than only We able to change. It should be on every step.,Language/Localization,Language/Localization - Hadees Language Change Issue,Medium,Negative
117,Feature,We can't easily find out Hadith with particular word,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Neutral
118,Bug,We can't find some hadess if we write some words,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
119,Bug,We cannot find our relative hadeesby name or by number as it is very confusing,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
120,Feature,"We didn't understand the exact meaning of hadith, if you can add translation from someone Pakistani sheikh ul hadees",Translations & Tafseer,Translations & Tafseer - Hadees Translation Request,Low,Neutral
121,Feature,We need in Roman Urdu,Translations & Tafseer,Translations & Tafseer - Roman Urdu Translation Request,Low,Neutral
122,Feature,We need more hadiths from bukhari and other imp  cotters,General Feature,General Feature - Hadees Content Expansion Request,Low,Neutral
123,Feature,We want roman english language features in Hadith. Plzzz provide this feature,Translations & Tafseer,Translations & Tafseer - Roman English Hadees Feature Request,Low,Neutral
124,Other,Week,General Other,General Other - General Issues,Low,Neutral
125,Other,Wel managed,General Other,General Other - General Feedback,Low,Positive
126,Other,Weldone,General Other,General Other - General Feedback,Low,Positive
127,Other,Well done 👍,General Other,General Other - Positive Feedback,Low,Positive
128,Other,Well done,General Other,General Other - General Feedback,Low,Positive
129,Other,Well information,General Other,General Other - General Issues,Low,Neutral
130,Other,Well-done,General Other,General Other - Positive Feedback,Low,Positive
131,Other,Well,General Other,General Other - General Issues,Low,Neutral
132,Bug,"When I open hadees using hadith no, it doesn't goes to the next hadees. I think it should be improved and also when I read Hadith and want to go to the next then most of the time it stuck in between and didn't scroll up or down.",App Crash/Freeze,App Crash/Freeze - Hadees Navigation Issues,Medium,Negative
133,Accuracy,When I search a hadees there is no indication if that hadees is  Sahi or Zaeef,General Accuracy,General Accuracy - Hadees Authenticity Indication,Medium,Negative
134,Bug,When I search with word it is not searching exactly. What sometimes we dont know about number of hadith. I shared with many english people and this app is amazing. JazakAllah Zahid bhai.,Search Functionality,Search Functionality - Hadees Search Accuracy Issues,Medium,Neutral
135,Bug,When I search words in hadees.Then nothing is show,Search Functionality,Search Functionality - Hadees Search Issues,Medium,Negative
136,Bug,When I search... it's very buggy. I can only search once and make sure there's no mistake.. because if I backspace once of try search a second search it won't work..and i need to exit and open it again.. even the exact search function and similar don't al,Search Functionality,Search Functionality - Search Bug Issues,Medium,Negative
137,Bug,When I write reference of hadees by number it doesn't work,Search Functionality,Search Functionality - Hadees Number Search Issues,Medium,Negative
138,Feature,When a specific No. Hadith is searched. Option to Scroll Hadiths before and after that no. Should be present,Quran Reading Features,Quran Reading Features - Hadees Search Navigation Request,Low,Neutral
139,Other,When ever I wri,General Other,General Other - General Issues,Low,Neutral
140,Bug,When ever i open any hadees ad minimize the app .... It stucked with the blank page so i have too close the app and again search in it ...... And its is happening on other devices as well,App Crash/Freeze,App Crash/Freeze - Hadees Viewing Issues,Medium,Negative
141,Bug,When i am search show not found,Search Functionality,Search Functionality - Not Found Issues,Medium,Negative
142,Bug,"When mobile's light turns off, when i open the app restarts again everytime instead opening from where i left off",App Crash/Freeze,App Crash/Freeze - App Restarting Issue,Medium,Negative
143,Bug,When the book mark opens..I can't continue reading,General Bug,General Bug - Bookmark Functionality Issue,Medium,Negative
144,Bug,"When updated from Play Store Muwatta Imam Malik, Mustadrak Al-Hakim & Sunan Darmi; data of these book is deleted, had to download it again.!.",Download/Offline Issues,Download/Offline Issues - Data Loss After Update,High,Negative
145,Feature,"When we are copying the hadith out, lets say in whatsApp, haditd number should appear in the top instead of in the bottom.",General Feature,General Feature - Hadees Number Display Issue,Low,Neutral
146,Feature,"When we search hadees by number we find hadees but there is no grade option to see 

We search hadees by number the hadees show in green colour , we can't differenciate that the hadees is sahih or not.

To clarify the grade , we have to scroll down more &",General Feature,General Feature - Hadees Grade Visibility Issue,Medium,Negative
